x,y,p,tv,av,rv,sv
 6.600000000E-03, 5.299999833E-02, 5.150881216E-03, 1.688549207E-02,-2.00E-05, 1.155683456E-03, 1.684576899E-02
 6.750000000E-03, 5.299999833E-02, 5.276774013E-03, 1.716961186E-02,-1.86E-05, 1.236785920E-03, 1.712490732E-02
 6.900000000E-03, 5.299999833E-02, 5.395027552E-03, 1.742216334E-02,-1.74E-05, 1.309202742E-03, 1.737282524E-02
 7.050000000E-03, 5.299999833E-02, 5.502074677E-03, 1.763962604E-02,-1.62E-05, 1.371587638E-03, 1.758616360E-02
 7.200000000E-03, 5.299999833E-02, 5.594593922E-03, 1.781875069E-02,-1.50E-05, 1.422717284E-03, 1.776182297E-02
 7.350000000E-03, 5.299999833E-02, 5.669020781E-03, 1.795669223E-02,-1.37E-05, 1.461534273E-03, 1.789708945E-02
 7.500000000E-03, 5.299999833E-02, 5.722873644E-03, 1.805113285E-02,-1.24E-05, 1.487122594E-03, 1.798975605E-02
 7.650000000E-03, 5.299999833E-02, 5.755596855E-03, 1.810040995E-02,-1.10E-05, 1.498829070E-03, 1.803823775E-02
 7.800000000E-03, 5.299999833E-02, 5.766908805E-03, 1.810361133E-02,-9.54E-06, 1.496407534E-03, 1.804165267E-02
 7.950000000E-03, 5.299999833E-02, 5.756746229E-03, 1.806057773E-02,-7.93E-06, 1.479771000E-03, 1.799984351E-02
 8.100000000E-03, 5.299999833E-02, 5.724815903E-03, 1.797192473E-02,-6.20E-06, 1.449094592E-03, 1.791339080E-02
 8.250000000E-03, 5.299999833E-02, 5.672065900E-03, 1.783903683E-02,-4.40E-06, 1.404968269E-03, 1.778359561E-02
 8.400000000E-03, 5.299999833E-02, 5.601492084E-03, 1.766398324E-02,-2.52E-06, 1.348191562E-03, 1.761241441E-02
 8.550000000E-03, 5.299999833E-02, 5.516263451E-03, 1.744941634E-02,-5.47E-07, 1.279768409E-03, 1.740236089E-02
 8.700000000E-03, 5.299999833E-02, 5.419739658E-03, 1.719845355E-02, 1.542570834E-06, 1.200900378E-03, 1.715639212E-02
 8.850000000E-03, 5.299999833E-02, 5.315562621E-03, 1.691455455E-02, 3.771294242E-06, 1.112937971E-03, 1.687779397E-02
 9.000000000E-03, 5.299999833E-02, 5.207472569E-03, 1.660138882E-02, 6.169303154E-06, 1.017329735E-03, 1.657005696E-02
 9.150000000E-03, 5.299999833E-02, 5.099135849E-03, 1.626271474E-02, 8.769264540E-06, 9.155750957E-04, 1.623676327E-02
 9.300000000E-03, 5.299999833E-02, 4.994003385E-03, 1.590227856E-02, 1.160246304E-05, 8.091834484E-04, 1.588149253E-02
 9.450000000E-03, 5.299999833E-02, 4.895183497E-03, 1.552373086E-02, 1.469548912E-05, 6.996378062E-04, 1.550774432E-02
 9.600000000E-03, 5.299999833E-02, 4.805320511E-03, 1.513056279E-02, 1.806572812E-05, 5.883605698E-04, 1.511887906E-02
 9.750000000E-03, 5.299999833E-02, 4.726554078E-03, 1.472606196E-02, 2.171695026E-05, 4.766899182E-04, 1.471807731E-02
 9.900000000E-03, 5.299999833E-02, 4.660501199E-03, 1.431329157E-02, 2.563701991E-05, 3.658632363E-04, 1.430832068E-02
 1.005000000E-02, 5.299999833E-02, 4.608248059E-03, 1.389508547E-02, 2.979828798E-05, 2.570033639E-04, 1.389238779E-02
 1.020000000E-02, 5.299999833E-02, 4.570349494E-03, 1.347404943E-02, 3.415828480E-05, 1.511082040E-04, 1.347285528E-02
 1.035000000E-02, 5.299999833E-02, 4.546860474E-03, 1.305257106E-02, 3.865855125E-05, 4.904169673E-05, 1.305210640E-02
