x,y,p,tv,av,rv,sv
 1.719607785E-02, 5.499999970E-02, 8.694116026E-03, 5.066650454E-03,-1.03E-03,-1.15E-04, 4.959461279E-03
 1.950980164E-02, 5.499999598E-02, 1.227662433E-02, 8.032468148E-03,-5.65E-04, 3.671099839E-04, 8.003928699E-03
 2.182352915E-02, 5.499999970E-02, 1.148936059E-02, 7.509605028E-03, 8.405683329E-04, 2.523387957E-04, 7.457830478E-03
 2.413725294E-02, 5.499999970E-02, 8.047267795E-03, 4.254863132E-03, 9.067621431E-04,-1.77E-04, 4.153249785E-03
 2.645097859E-02, 5.499999970E-02, 6.889736746E-03, 2.239163732E-03, 1.017972900E-04,-2.20E-04, 2.225704491E-03
 2.876470610E-02, 5.499999970E-02, 7.567606866E-03, 3.540494712E-03,-7.41E-04,-2.09E-04, 3.455695231E-03
 3.107842989E-02, 5.499999970E-02, 1.056686230E-02, 6.826746743E-03,-1.02E-03, 1.205294757E-04, 6.749525666E-03
 3.339215741E-02, 5.499999970E-02, 1.275490690E-02, 8.321429603E-03, 2.124910388E-04, 4.340120940E-04, 8.307063952E-03
 3.570588306E-02, 5.500000343E-02, 9.524853900E-03, 5.925472826E-03, 1.078535221E-03,-1.75E-05, 5.826283246E-03
 3.801960871E-02, 5.499999970E-02, 7.189540658E-03, 2.886192175E-03, 5.266848020E-04,-2.19E-04, 2.829141449E-03
 4.033333436E-02, 5.499999598E-02, 6.975208409E-03, 2.455686918E-03,-3.17E-04,-2.19E-04, 2.425117884E-03
 4.264706001E-02, 5.499999598E-02, 8.685756475E-03, 5.056244321E-03,-1.03E-03,-1.16E-04, 4.948581569E-03
 4.496078193E-02, 5.499999970E-02, 1.227826811E-02, 8.025521412E-03,-5.83E-04, 3.608137486E-04, 7.995877415E-03
 4.727451503E-02, 5.499999970E-02, 1.159058325E-02, 7.570974063E-03, 8.254455170E-04, 2.609966614E-04, 7.521056570E-03
 4.958823696E-02, 5.499999598E-02, 8.114053868E-03, 4.352641292E-03, 9.267549613E-04,-1.68E-04, 4.249374848E-03
 5.190196261E-02, 5.499999970E-02, 6.869185250E-03, 2.251706785E-03, 1.509575959E-04,-2.12E-04, 2.236451022E-03
 5.421568826E-02, 5.499999970E-02, 7.403956726E-03, 3.292629728E-03,-6.71E-04,-2.11E-04, 3.216459416E-03
 5.652941018E-02, 5.499999970E-02, 1.016515214E-02, 6.491587497E-03,-1.06E-03, 6.177811883E-05, 6.403741892E-03
 5.884313956E-02, 5.499999970E-02, 1.287929155E-02, 8.384490386E-03, 2.963243242E-05, 4.428098619E-04, 8.372439072E-03
 6.115686148E-02, 5.499999970E-02, 1.002301462E-02, 6.363782100E-03, 1.068035257E-03, 4.260538117E-05, 6.273129955E-03
 6.347057968E-02, 5.500000343E-02, 7.350501139E-03, 3.211742966E-03, 6.465478800E-04,-2.09E-04, 3.138959408E-03
 6.578431278E-02, 5.499999970E-02, 6.852927618E-03, 2.249633195E-03,-1.59E-04,-2.07E-04, 2.234203741E-03
 6.809803843E-02, 5.499999970E-02, 8.083866909E-03, 4.318542778E-03,-9.23E-04,-1.69E-04, 4.215130582E-03
 7.041176409E-02, 5.499999970E-02, 1.154615544E-02, 7.530309726E-03,-8.51E-04, 2.475745277E-04, 7.477640640E-03
 7.272548974E-02, 5.499999970E-02, 1.241610292E-02, 8.094229735E-03, 5.419073859E-04, 3.703194961E-04, 8.067315444E-03
