x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 5.639999874E-02, 5.000000000E-02,-1.51E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.27E+00
 5.654999874E-02, 5.000000000E-02,-1.55E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.04E+00
 5.669999873E-02, 5.000000000E-02,-1.58E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.82E+00
 5.684999873E-02, 5.000000000E-02,-1.62E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.59E+00
 5.699999873E-02, 5.000000000E-02,-1.65E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.37E+00
 5.714999872E-02, 5.000000000E-02,-1.69E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-4.15E+00
 5.729999872E-02, 5.000000000E-02,-1.72E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.93E+00
 5.744999872E-02, 5.000000000E-02,-1.75E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.73E+00
 5.759999871E-02, 5.000000000E-02,-1.77E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.54E+00
 5.774999871E-02, 5.000000000E-02,-1.80E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.36E+00
 5.789999871E-02, 5.000000000E-02,-1.82E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.20E+00
 5.804999870E-02, 5.000000000E-02,-1.84E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-3.06E+00
 5.819999870E-02, 5.000000000E-02,-1.85E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.94E+00
 5.834999870E-02, 5.000000000E-02,-1.86E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.84E+00
 5.849999869E-02, 5.000000000E-02,-1.87E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.77E+00
 5.864999869E-02, 5.000000000E-02,-1.88E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.73E+00
 5.879999869E-02, 5.000000000E-02,-1.88E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.71E+00
 5.894999868E-02, 5.000000000E-02,-1.88E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.73E+00
 5.909999868E-02, 5.000000000E-02,-1.87E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.77E+00
 5.924999868E-02, 5.000000000E-02,-1.86E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.84E+00
 5.939999867E-02, 5.000000000E-02,-1.85E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-2.93E+00
